,제목,키워드,플랫폼
238,악녀를 죽여 줘 ,"['에리스', '세계', '죽음', '악녀', '사형']",카카오웹툰
239,궁귀검신 ,"['생명', '거리', '병기', '사리', '지배']",카카오웹툰
240,막내 황녀님 ,"['제국', '판타지', '로맨스', '마도', '막내']",카카오웹툰
241,다정한 그대를 지키는 방법 ,"['결혼', '로맨스', '남자', '증오', '판타지']",카카오웹툰
242,화타가 된 외과의사 ,"['진수', '부활', '전란', '전설', '기상']",카카오웹툰
243,로드 오브 머니 ,"['로드', '명의', '시작', '오브', '행보']",카카오웹툰
244,남주의 엄마가 되어버렸다 ,"['아들', '공작', '과잉', '자의식', '수가']",카카오웹툰
245,던전 리셋 ,"['리셋', '버그', '개척', '무장', '시작']",카카오웹툰
246,못난이 공녀가 되었습니다 ,"['비아', '공녀', '못난이', '불리', '스스로']",카카오웹툰
247,불사무적 ,"['공적', '누명', '무협', '가의', '명문']",카카오웹툰
248,빈껍데기 공작부인 ,"['계약', '사랑', '남자', '불과', '결혼']",카카오웹툰
249,지옥에서 독식 ,"['일확천금', '지옥', '진입', '짓밟힌', '채취']",카카오웹툰
250,흑막의 목줄을 놓쳐버렸다 ,"['세뇌', '흑막', '집착', '내용', '덕분']",카카오웹툰
251,학사귀환 ,"['서원', '개성', '고수', '관리', '명의']",카카오웹툰
252,로열 셰프 영애님 ,"['갑자기', '거지', '건가', '그야', '눈알']",카카오웹툰
253,나는 남주의 전 여친이었다 ,"['조연', '악역', '시작', '남자', '줄줄이']",카카오웹툰
254,엔젤릭 레이디 ,"['단두대', '맞이', '순간', '시절', '아래']",카카오웹툰
255,아이리스 - 스마트폰을 든 레이디 ,"['남편', '응시', '이안', '지그시', '아이리스']",카카오웹툰
256,무인이곽 ,"['무참', '무협', '액션', '폭행', '마련']",카카오웹툰
257,던전 마제스티 ,"['오주', '기회', '알바생', '위기', '판타지']",카카오웹툰
258,나의 자리 ,"['이단', '로맨스', '시절', '처벌', '판타지']",카카오웹툰
259,익애 ~봉황애사~ ,"['여자아이', '일가', '사내', '약속', '가문']",카카오웹툰
260,대군으로 살어리랏다 ,"['진성', '대군', '조선', '수저', '전생']",카카오웹툰
261,마족의 계약 ,"['담보', '로맨스', '유리', '계약', '마왕']",카카오웹툰
262,적국 황제의 노예가 되었습니다 ,"['황제', '적국', '공녀', '암살', '감히']",카카오웹툰
263,왜란종결자 ,"['건국', '나선', '시작', '아버지', '전란']",카카오웹툰
